#options: 2560x1440 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2243 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:90 out:92 type:b dur:2 cpbdur:2 q:33.63 aq:38.76 tex:574 mv:150 misc:668 imb:0 pmb:22 smb:14378 d:- ref:0 ;
in:92 out:93 type:b dur:2 cpbdur:2 q:33.62 aq:38.78 tex:411 mv:93 misc:656 imb:0 pmb:13 smb:14387 d:- ref:0 ;
in:97 out:94 type:P dur:2 cpbdur:2 q:33.84 aq:23.60 tex:74533 mv:682 misc:5289 imb:2 pmb:1068 smb:13330 d:- ref:0 ;
in:95 out:95 type:B dur:2 cpbdur:2 q:33.73 aq:34.13 tex:909 mv:121 misc:690 imb:0 pmb:15 smb:14385 d:- ref:0 ;
in:94 out:96 type:b dur:2 cpbdur:2 q:33.67 aq:37.00 tex:2 mv:40 misc:662 imb:0 pmb:11 smb:14389 d:- ref:0 ;
in:96 out:97 type:b dur:2 cpbdur:2 q:33.79 aq:37.00 tex:2 mv:29 misc:657 imb:0 pmb:10 smb:14390 d:- ref:0 ;
in:101 out:98 type:P dur:2 cpbdur:2 q:35.54 aq:31.75 tex:1962 mv:132 misc:698 imb:0 pmb:22 smb:14378 d:- ref:0 ;
in:99 out:99 type:B dur:2 cpbdur:2 q:34.69 aq:36.00 tex:22 mv:28 misc:678 imb:0 pmb:10 smb:14390 d:- ref:0 ;
in:98 out:100 type:b dur:2 cpbdur:2 q:34.27 aq:38.00 tex:1 mv:16 misc:647 imb:0 pmb:8 smb:14392 d:- ref:0 ;
in:100 out:101 type:b dur:2 cpbdur:2 q:35.12 aq:39.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:105 out:102 type:P dur:2 cpbdur:2 q:36.22 aq:31.12 tex:542 mv:148 misc:702 imb:0 pmb:21 smb:14379 d:- ref:0 ;
in:103 out:103 type:B dur:2 cpbdur:2 q:35.88 aq:37.00 tex:0 mv:0 misc:640 imb:0 pmb:0 smb:14400 d:- ref:0 ;
